model_name_list,detail_link,detail_url,rent_yn,list_price_wan,model_name,price_wan,rent_yn_detail,support_money_wan,monthly_rent_wan,remain_months,year_month,mileage_km,fuel_type,transmission,color,displacement_cc,reg_date
기아 쏘렌토 4세대 하이브리드  1.6 터보 HEV 2WD 노블레스,/mycar/mycar_view.php?no=2256444&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256444&gubun=K,True,50.0,기아 쏘렌토 4세대 하이브리드  1.6 터보 HEV 2WD 노블레스,50.0,True,,64.0,51 / 60,2025.05,5990.0,가솔린 하이브리드,자동,흰색,1598.0,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  그래비티,/mycar/mycar_view.php?no=2257030&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257030&gubun=K,False,3700.0,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  그래비티,3700.0,False,,,,2023.06,57000.0,가솔린 하이브리드,자동,흰색,1598.0,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 그래비티,/mycar/mycar_view.php?no=2256157&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256157&gubun=K,False,4200.0,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 그래비티,4200.0,False,,,,2024.01,58000.0,가솔린 하이브리드,자동,흰색,1598.0,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  그래비티,/mycar/mycar_view.php?no=2254308&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254308&gubun=K,True,250.0,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  그래비티,250.0,True,250.0,65.0,51 / 60,2025.02,5230.0,가솔린 하이브리드,자동,흰색,1598.0,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 프레스티지,/mycar/mycar_view.php?no=2251463&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2251463&gubun=K,False,2450.0,기아 쏘렌토 4세대 하이브리드  1.6 터보 HEV 2WD 프레스티지,2450.0,False,,,,2022.03,103466.0,가솔린 하이브리드,자동,흰색,1598.0,
기아 더 뉴 쏘렌토 2.2 디젤 4WD  마스터,/mycar/mycar_view.php?no=2257165&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257165&gubun=K,False,2180.0,기아 더 뉴 쏘렌토 2.2 디젤 4WD  마스터,2180.0,False,,,,2018.07 (19년형),98188.0,디젤,자동,청색,2199.0,
기아 더 뉴 쏘렌토 2.0 디젤 2WD  마스터,/mycar/mycar_view.php?no=2255185&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255185&gubun=K,False,,기아 더 뉴 쏘렌토 2.0 디젤 2WD  마스터,,False,,,,2019.12 (20년형),54170.0,디젤,자동,진주색,1995.0,
기아 더 뉴 쏘렌토 2.2 디젤 2WD 노블레스,/mycar/mycar_view.php?no=2248990&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2248990&gubun=K,False,1780.0,기아 더 뉴 쏘렌토  2.2 디젤 2WD 노블레스,1780.0,False,,,,2017.08 (18년형),70000.0,디젤,자동,흰색,2199.0,
기아 더 뉴 쏘렌토 2.2 디젤 2WD 노블레스,/mycar/mycar_view.php?no=2248325&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2248325&gubun=K,False,,기아 더 뉴 쏘렌토  2.2 디젤 2WD 노블레스,,False,,,,2018.04,92991.0,디젤,자동,검정색,2199.0,
기아 올 뉴 쏘렌토 2.2 디젤 2WD 노블레스 스페셜,/mycar/mycar_view.php?no=2256314&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256314&gubun=K,False,1690.0,기아 올 뉴 쏘렌토  2.2 디젤 2WD 노블레스 스페셜,1690.0,False,,,,2015.12 (16년형),151516.0,디젤,자동,흰색,2199.0,
기아 올 뉴 쏘렌토 2.0 디젤 2WD 프레스티지,/mycar/mycar_view.php?no=2256859&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256859&gubun=K,False,1170.0,기아 올 뉴 쏘렌토  2.0 디젤 2WD 프레스티지,1170.0,False,,,,2015.11 (16년형),137000.0,디젤,자동,기타색상,1995.0,
기아 올 뉴 쏘렌토 2.0 디젤 4WD  프레스티지,/mycar/mycar_view.php?no=2256672&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256672&gubun=K,False,1200.0,기아 올 뉴 쏘렌토 2.0 디젤 4WD  프레스티지,1200.0,False,,,,2015.12 (16년형),150000.0,디젤,자동,검정색,1995.0,
기아 올 뉴 쏘렌토 2.0 디젤 2WD 프레스티지,/mycar/mycar_view.php?no=2256327&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256327&gubun=K,False,1000.0,기아 올 뉴 쏘렌토 2.0 디젤 2WD 프레스티지,1000.0,False,,,,2014.09 (15년형),145000.0,디젤,자동,흰색,1995.0,
기아 올 뉴 쏘렌토 2.0 디젤 2WD 프레스티지,/mycar/mycar_view.php?no=2252626&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2252626&gubun=K,False,1380.0,기아 올 뉴 쏘렌토  2.0 디젤 2WD 프레스티지,1380.0,False,,,,2016.05,96000.0,디젤,자동,기타색상,1995.0,
