용도코드,용도명,차종코드,차종명,규모코드,규모명,연도코드,연도,연식구간코드,연식구간명,지표코드,지표명,값
0001,전체,0001,합계,0004,대형,Y2024 2024,,0020,4년 이하,M0011,부적합률,7.21
0001,전체,0001,합계,0004,대형,Y2024 2024,,0030,5~6년,M0010,검사대수,270190.0
0001,전체,0001,합계,0004,대형,Y2024 2024,,0030,5~6년,M0011,부적합률,9.7
0001,전체,0001,합계,0004,대형,Y2024 2024,,0040,7~8년,M0010,검사대수,540168.0
0001,전체,0001,합계,0004,대형,Y2024 2024,,0040,7~8년,M0011,부적합률,13.36
0001,전체,0001,합계,0004,대형,Y2024 2024,,0050,9~10년,M0010,검사대수,458497.0
0001,전체,0001,합계,0004,대형,Y2024 2024,,0050,9~10년,M0011,부적합률,18.36
0001,전체,0001,합계,0004,대형,Y2024 2024,,0060,11~12년,M0010,검사대수,343899.0
0001,전체,0001,합계,0004,대형,Y2024 2024,,0060,11~12년,M0011,부적합률,22.99
0001,전체,0001,합계,0004,대형,Y2024 2024,,0070,13~14년,M0010,검사대수,293494.0
0001,전체,0001,합계,0004,대형,Y2024 2024,,0070,13~14년,M0011,부적합률,26.75
0001,전체,0001,합계,0004,대형,Y2024 2024,,0080,15년 이상,M0010,검사대수,598277.0
0001,전체,0001,합계,0004,대형,Y2024 2024,,0080,15년 이상,M0011,부적합률,29.16
0001,전체,0001,합계,0004,대형,Y2024 2024,,0090,기타,M0010,검사대수,0.0
0001,전체,0001,합계,0004,대형,Y2024 2024,,0090,기타,M0011,부적합률,0.0
0001,전체,0002,승용차,0001,합계,Y2024 2024,,0010,합계,M0010,검사대수,9027589.0
0001,전체,0002,승용차,0001,합계,Y2024 2024,,0010,합계,M0011,부적합률,19.49
0001,전체,0002,승용차,0001,합계,Y2024 2024,,0020,4년 이하,M0010,검사대수,2217602.0
0001,전체,0002,승용차,0001,합계,Y2024 2024,,0020,4년 이하,M0011,부적합률,7.51
0001,전체,0002,승용차,0001,합계,Y2024 2024,,0030,5~6년,M0010,검사대수,701980.0
0001,전체,0002,승용차,0001,합계,Y2024 2024,,0030,5~6년,M0011,부적합률,9.98
0001,전체,0002,승용차,0001,합계,Y2024 2024,,0040,7~8년,M0010,검사대수,1406446.0
0001,전체,0002,승용차,0001,합계,Y2024 2024,,0040,7~8년,M0011,부적합률,13.32
0001,전체,0002,승용차,0001,합계,Y2024 2024,,0050,9~10년,M0010,검사대수,1281073.0
0001,전체,0002,승용차,0001,합계,Y2024 2024,,0050,9~10년,M0011,부적합률,20.1
0001,전체,0002,승용차,0001,합계,Y2024 2024,,0060,11~12년,M0010,검사대수,1090464.0
0001,전체,0002,승용차,0001,합계,Y2024 2024,,0060,11~12년,M0011,부적합률,28.02
0001,전체,0002,승용차,0001,합계,Y2024 2024,,0070,13~14년,M0010,검사대수,941532.0
0001,전체,0002,승용차,0001,합계,Y2024 2024,,0070,13~14년,M0011,부적합률,32.08
0001,전체,0002,승용차,0001,합계,Y2024 2024,,0080,15년 이상,M0010,검사대수,1388489.0
0001,전체,0002,승용차,0001,합계,Y2024 2024,,0080,15년 이상,M0011,부적합률,33.87
0001,전체,0002,승용차,0001,합계,Y2024 2024,,0090,기타,M0010,검사대수,3.0
0001,전체,0002,승용차,0001,합계,Y2024 2024,,0090,기타,M0011,부적합률,66.67
0001,전체,0002,승용차,0002,경형,Y2024 2024,,0010,합계,M0010,검사대수,931884.0
0001,전체,0002,승용차,0002,경형,Y2024 2024,,0010,합계,M0011,부적합률,23.75
0001,전체,0002,승용차,0002,경형,Y2024 2024,,0020,4년 이하,M0010,검사대수,142679.0
0001,전체,0002,승용차,0002,경형,Y2024 2024,,0020,4년 이하,M0011,부적합률,11.64
