model_name_list,detail_link,detail_url,rent_yn,list_price_wan,model_name,price_wan,rent_yn_detail,support_money_wan,acquisition_cost_wan,monthly_rent_wan,remain_months,total_months,remain_months_text,year_month,mileage_km,fuel_type,transmission,color,displacement_cc,reg_date,gubun,maker_no,group_no,detail_no,maker_name,group_name,detail_name,fuel_efficiency,drivetrain_type
현대 쏠라티 캠핑카,/mycar/mycar_view.php?no=2255259&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255259&gubun=K,False,7980.0,현대 쏠라티  캠핑카 -,7980.0,False,,,,,,,2022.01,57841.0,디젤,자동,흰색,2497.0,,K,49,870,1684,현대,쏠라티,쏠라티 (15년~현재),,AWD
현대 쏠라티 2.5 디젤 15인승 럭셔리,/mycar/mycar_view.php?no=2256384&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256384&gubun=K,False,5300.0,현대 쏠라티 2.5 디젤 15인승 럭셔리,5300.0,False,,,,,,,2022.11,73200.0,디젤,자동,흰색,2497.0,,K,49,870,1684,현대,쏠라티,쏠라티 (15년~현재),,AWD
현대 아슬란 3.0 G300 모던,/mycar/mycar_view.php?no=2246648&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2246648&gubun=K,False,1099.0,현대 아슬란  3.0 G300 모던,1099.0,False,,,,,,,2015.09 (16년형),106149.0,가솔린,자동,검정색,2999.0,,K,49,820,1624,현대,아슬란,아슬란 (14~18년),9.5,FF
현대 아이오닉 하이브리드 1.6 HEV I,/mycar/mycar_view.php?no=2250714&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2250714&gubun=K,False,650.0,현대 아이오닉 하이브리드  1.6 HEV I,650.0,False,,,,,,,2016.08,216000.0,가솔린 하이브리드,자동,흰색,1580.0,,K,49,871,1686,현대,아이오닉,아이오닉 하이브리드 (16~19년),22.4,FF
현대 아이오닉 하이브리드 1.6 HEV Q,/mycar/mycar_view.php?no=2246888&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2246888&gubun=K,False,1190.0,현대 아이오닉 하이브리드  1.6 HEV Q,1190.0,False,,,,,,,2016.06,167000.0,가솔린 하이브리드,자동,흰색,1580.0,,K,49,871,1686,현대,아이오닉,아이오닉 하이브리드 (16~19년),20.2,FF
현대 디 올 뉴 코나 1.6 가솔린 터보 2WD 프리미엄,/mycar/mycar_view.php?no=2255782&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255782&gubun=K,True,200.0,현대 디 올 뉴 코나 1.6 가솔린 터보 2WD 프리미엄,,True,,200.0,62.0,60.0,60.0,60 / 60,2025.12 (26년형),20.0,가솔린,자동,흰색,1598.0,,K,49,922,2763,현대,코나,디 올 뉴 코나 (23년~현재),13.9,FF
현대 디 올 뉴 코나 1.6 가솔린 터보 2WD 인스퍼레이션,/mycar/mycar_view.php?no=2251065&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2251065&gubun=K,False,2199.0,현대 디 올 뉴 코나  1.6 가솔린 터보 2WD 인스퍼레이션,2199.0,False,,,,,,,2025.04,4874.0,가솔린,자동,노란색,1598.0,,K,49,922,2763,현대,코나,디 올 뉴 코나 (23년~현재),12.7,FF
현대 디 올 뉴 코나 1.6 가솔린 터보 4WD 인스퍼레이션,/mycar/mycar_view.php?no=2255416&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255416&gubun=K,False,3350.0,현대 디 올 뉴 코나  1.6 가솔린 터보 4WD 인스퍼레이션,3350.0,False,,,,,,,2025.05 (26년형),11715.0,가솔린,자동,빨간색,1600.0,,K,49,922,2763,현대,코나,디 올 뉴 코나 (23년~현재),11.2,AWD
현대 코나 1.6 가솔린 터보 2WD 모던 테크,/mycar/mycar_view.php?no=2255584&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255584&gubun=K,False,1360.0,현대 코나 1.6 가솔린 터보 2WD 모던 테크,1360.0,False,,,,,,,2017.11 (18년형),87850.0,가솔린,자동,빨간색,1591.0,,K,49,922,1835,현대,코나,코나 (17~20년),12.8,FF
현대 코나 1.6 가솔린 터보 2WD 모던,/mycar/mycar_view.php?no=2255847&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255847&gubun=K,False,1799.0,현대 코나 1.6 가솔린 터보 2WD 모던,1799.0,False,,,,,,,2021.12 (22년형),38345.0,가솔린,자동,흰색,1598.0,,K,49,922,1835,현대,코나,코나 (17~20년),12.8,FF
현대 코나 1.6 디젤 2WD 모던 팝,/mycar/mycar_view.php?no=2256039&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256039&gubun=K,False,1299.0,현대 코나  1.6 디젤 2WD 모던 팝,1299.0,False,,,,,,,2018.01,82646.0,디젤,자동,주황색,1582.0,,K,49,922,1835,현대,코나,코나 (17~20년),16.5,FF
현대 코나 1.6 가솔린 터보 2WD 모던 팝,/mycar/mycar_view.php?no=2256904&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256904&gubun=K,False,1520.0,현대 코나 1.6 가솔린 터보 2WD 모던 팝,1520.0,False,,,,,,,2018.03,58742.0,가솔린,자동,흰색,1591.0,,K,49,922,1835,현대,코나,코나 (17~20년),12.6,FF
현대 코나 일렉트릭 2WD 프리미엄,/mycar/mycar_view.php?no=2254969&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254969&gubun=K,False,1780.0,현대 코나 일렉트릭  2WD 프리미엄,1780.0,False,,,,,,,2019.07,117069.0,전기,자동,진회색,180.0,,K,49,922,1924,현대,코나,코나 일렉트릭 (18년~현재),5.6,FF
현대 코나 일렉트릭 2WD 모던,/mycar/mycar_view.php?no=2255183&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255183&gubun=K,False,1550.0,현대 코나 일렉트릭 2WD 모던,1550.0,False,,,,,,,2020.06,132581.0,전기,자동,흰색,180.0,,K,49,922,1924,현대,코나,코나 일렉트릭 (18년~현재),5.6,FF
현대 코나 일렉트릭 2WD 프리미엄,/mycar/mycar_view.php?no=2252625&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2252625&gubun=K,False,2000.0,현대 코나 일렉트릭  2WD 프리미엄,2000.0,False,,,,,,,2020.07,74000.0,전기,자동,흰색,1800.0,,K,49,922,1924,현대,코나,코나 일렉트릭 (18년~현재),5.6,FF
현대 뉴 에쿠스 3.8 VS380 모던,/mycar/mycar_view.php?no=2251169&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2251169&gubun=K,False,499.0,현대 뉴 에쿠스 3.8 VS380 모던,499.0,False,,,,,,,2013.12 (14년형),218232.0,가솔린,자동,파란색,3778.0,,K,49,25,1056,현대,에쿠스,뉴 에쿠스 (09~15년),8.9,AWD
현대 뉴 에쿠스 3.8 VS380 프레스티지,/mycar/mycar_view.php?no=2252948&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2252948&gubun=K,False,650.0,현대 뉴 에쿠스 3.8 VS380 프레스티지,650.0,False,,,,,,,2011.08 (12년형),156126.0,가솔린,자동,은색,3778.0,,K,49,25,1056,현대,에쿠스,뉴 에쿠스 (09~15년),9.7,AWD
현대 뉴 에쿠스 3.8 VS380 프레스티지,/mycar/mycar_view.php?no=2256687&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256687&gubun=K,False,290.0,현대 뉴 에쿠스 3.8 VS380 프레스티지,290.0,False,,,,,,,2011.06 (12년형),229400.0,가솔린,자동,검정색,3778.0,,K,49,25,1056,현대,에쿠스,뉴 에쿠스 (09~15년),9.7,AWD
현대 뉴 에쿠스 3.8  VS380 프라임,/mycar/mycar_view.php?no=2256545&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256545&gubun=K,False,540.0,현대 뉴 에쿠스 3.8  VS380 프라임,540.0,False,,,,,,,2012.02,173394.0,가솔린,자동,검정색,3778.0,,K,49,25,1056,현대,에쿠스,뉴 에쿠스 (09~15년),9.7,AWD
현대 뉴 에쿠스 4.6  VS460 프레스티지,/mycar/mycar_view.php?no=2257122&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257122&gubun=K,False,380.0,현대 뉴 에쿠스 4.6  VS460 프레스티지,380.0,False,,,,,,,2009.08 (10년형),163967.0,가솔린,자동,검정색,4627.0,,K,49,25,1056,현대,에쿠스,뉴 에쿠스 (09~15년),8.8,AWD
현대 뉴 에쿠스 3.8  VS380 프라임 VIP팩,/mycar/mycar_view.php?no=2256728&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256728&gubun=K,False,580.0,현대 뉴 에쿠스 3.8  VS380 프라임 VIP팩,580.0,False,,,,,,,2010.03,145077.0,가솔린,자동,검정색,3778.0,,K,49,25,1056,현대,에쿠스,뉴 에쿠스 (09~15년),9.3,AWD
현대 뉴 에쿠스 3.8  VS380 프리미엄,/mycar/mycar_view.php?no=2257243&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257243&gubun=K,False,530.0,현대 뉴 에쿠스 3.8  VS380 프리미엄,530.0,False,,,,,,,2015.04,271000.0,가솔린,자동,검정색,3778.0,,K,49,25,1056,현대,에쿠스,뉴 에쿠스 (09~15년),8.9,AWD
현대 뉴 에쿠스 5.0 VS500 프레스티지,/mycar/mycar_view.php?no=2253934&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2253934&gubun=K,False,1090.0,현대 뉴 에쿠스  5.0 VS500 프레스티지,1090.0,False,,,,,,,2014.01,224550.0,가솔린/LPG겸용,자동,검정색,5038.0,,K,49,25,1056,현대,에쿠스,뉴 에쿠스 (09~15년),8.1,AWD
현대 뉴 에쿠스 3.8 VS380 모던,/mycar/mycar_view.php?no=2255363&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255363&gubun=K,False,1100.0,현대 뉴 에쿠스  3.8 VS380 모던,1100.0,False,,,,,,,2013.09 (14년형),240156.0,가솔린,자동,검정색,3778.0,,K,49,25,1056,현대,에쿠스,뉴 에쿠스 (09~15년),8.9,AWD
현대 뉴 에쿠스 3.8  VS380 프라임,/mycar/mycar_view.php?no=2254568&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254568&gubun=K,False,390.0,현대 뉴 에쿠스 3.8  VS380 프라임,390.0,False,,,,,,,2010.04,154000.0,가솔린,자동,은색,3778.0,,K,49,25,1056,현대,에쿠스,뉴 에쿠스 (09~15년),9.3,AWD
현대 뉴 에쿠스 5.0 리무진 VL 500 프레스티지,/mycar/mycar_view.php?no=2252848&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2252848&gubun=K,False,799.0,현대 뉴 에쿠스  5.0 리무진 VL 500 프레스티지,799.0,False,,,,,,,2012.05,223296.0,가솔린,자동,검정색,5038.0,,K,49,25,1056,현대,에쿠스,뉴 에쿠스 (09~15년),8.8,AWD
현대 뉴 에쿠스 3.8 VS380 프리미엄,/mycar/mycar_view.php?no=2243405&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2243405&gubun=K,False,750.0,현대 뉴 에쿠스  3.8 VS380 프리미엄,750.0,False,,,,,,,2013.09 (14년형),314000.0,가솔린,자동,검정색,3778.0,,K,49,25,1056,현대,에쿠스,뉴 에쿠스 (09~15년),8.9,AWD
현대 엑센트  1.6 디젤 럭셔리,/mycar/mycar_view.php?no=2256312&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256312&gubun=K,False,249.0,현대 엑센트  1.6 디젤 럭셔리,249.0,False,,,,,,,2012.04,181554.0,디젤,자동,흰색,1582.0,,K,49,26,1314,현대,엑센트,엑센트 (신형) (10~19년),19.2,FF
