brand,model,year,price_krw,mileage_km,fuel_type,transmission,body_type,displacement_cc,link
현대,기아 카니발 4세대 3.5 가솔린 7인승 하이리무진 시그니처,2024,5000000.0,2500,가솔린 하이브리드,자동,,1598294,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2227749&gubun=K
현대,기아 그랜드 카니발 R 2.2 디젤 GX,2012,3590000.0,115747,디젤,자동,,2199197,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2254793&gubun=K
현대,기아 더 뉴 스포티지 하이브리드  1.6 터보 HEV 2WD 시그니처,2025,35990000.0,6320,가솔린 하이브리드,자동,,1598,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255390&gubun=K
현대,기아 K7 VG270 LPI 럭셔리,2010,3190000.0,150118,LPG,자동,,2656165,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255834&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승  시그니처,2024,1000000.0,33500,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2257237&gubun=K
현대,기아 K9 3.3 프레스티지,2012,4290000.0,230962,가솔린,자동,,3342300,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256158&gubun=K
현대,기아 뉴 쏘렌토R 2.0 디젤 2WD TLX 스페셜,2013,6290000.0,112125,디젤,자동,,1995184,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256600&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승  그래비티,2024,51800000.0,14850,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2254351&gubun=K
현대,기아 더 뉴 K7 3.0 LPi 프레스티지,2014,5400000.0,120274,LPG,자동,,2999235,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2249715&gubun=K
현대,기아 더 뉴 카렌스 1.7 디젤  프레스티지,2016,4990000.0,235563,디젤,자동,,1685141,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255911&gubun=K
현대,기아 K5 2.0 LPi 럭셔리,2010,3390000.0,138372,LPG,자동,,1998144,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2257004&gubun=K
현대,기아 봉고3  캠핑카 -,2019,24900000.0,28000,디젤,자동,,2497133,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2241514&gubun=K
현대,기아 K5 3세대 1.6 터보  시그니처,2020,16400000.0,97549,가솔린,자동,,1598180,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2257238&gubun=K
