model_name,model_code,model_volume,maker_code,origin
X2,1012,2,1,I
X3,1013,3,1,I
X4,1014,7,1,I
X5,1015,9,1,I
X6,1016,16,1,I
X7,349,15,1,I
iX,1221,1,1,I
iX1,1270,1,1,I
iX2,1309,0,1,I
iX3,1115,0,1,I
i3,815,0,1,I
i4,1243,2,1,I
i5,1277,0,1,I
i7,1265,2,1,I
i8,824,0,1,I
Z3,1030,1,1,I
Z4,1031,1,1,I
Z8,350,2,1,I
02 시리즈,955,0,1,I
296,1246,28,41,I
308,939,1,41,I
328,967,0,41,I
348,292,0,41,I
360,293,0,41,I
456,294,0,41,I
458,295,6,41,I
488,863,17,41,I
512TR,296,0,41,I
575M,299,1,41,I
599,300,4,41,I
612,301,1,41,I
812,937,8,41,I
849,1338,0,41,I
F8,1008,25,41,I
F12,770,2,41,I
F355,302,1,41,I
F430,303,3,41,I
FF,307,1,41,I
GTC4 루쏘,915,5,41,I
SF90,1077,18,41,I
라페라리,1248,0,41,I
로마,1061,23,41,I
엔초,306,0,41,I
캘리포니아,305,10,41,I
포르토피노,952,14,41,I
푸로산게,1298,13,41,I
아말피,1335,0,41,I
12 칠린드리,1340,0,41,I
기타,309,0,41,I
고스트,230,32,16,I
던,918,6,16,I
팬텀,231,13,16,I
레이스,808,19,16,I
스펙터,1279,5,16,I
컬리넌,945,28,16,I
코니쉬,234,0,16,I
실버 쉐도우,1107,0,16,I
실버 스퍼(스피릿),233,0,16,I
실버 클라우드,1269,1,16,I
뮬산,259,6,22,I
벤테이가,908,23,22,I
컨티넨탈 GT,256,31,22,I
플라잉스퍼,257,26,22,I
브룩랜즈,260,0,22,I
아르나지,258,1,22,I
아주르,261,0,22,I
터보 R,849,0,22,I
가야르도,212,0,11,I
디아블로,214,0,11,I
레부엘토,1326,3,11,I
무르시엘라고,213,3,11,I
시안,1278,0,11,I
아벤타도르,215,13,11,I
우라칸,816,20,11,I
우루스,956,48,11,I
테메라리오,1341,0,11,I
A1,867,0,32,I
